uid,grid_id,year,month,date,pr_mm
"[1.0, 2007, 01]",1.0,2007,1.0,2007-01,307.8897576231431
"[1.0, 2007, 02]",1.0,2007,2.0,2007-02,193.38311180609853
"[1.0, 2007, 03]",1.0,2007,3.0,2007-03,63.44018764659891
"[1.0, 2007, 04]",1.0,2007,4.0,2007-04,102.61688819390149
"[1.0, 2007, 05]",1.0,2007,5.0,2007-05,8.335418295543393
"[1.0, 2007, 06]",1.0,2007,6.0,2007-06,19.73729476153245
"[1.0, 2007, 07]",1.0,2007,7.0,2007-07,6.870211102423768
"[1.0, 2007, 08]",1.0,2007,8.0,2007-08,12.468334636434715
"[1.0, 2007, 09]",1.0,2007,9.0,2007-09,7.0
"[1.0, 2007, 10]",1.0,2007,10.0,2007-10,32.74042220484753
"[1.0, 2007, 11]",1.0,2007,11.0,2007-11,82.76622361219704
"[1.0, 2007, 12]",1.0,2007,12.0,2007-12,98.31978107896795
"[2.0, 2007, 01]",2.0,2007,1.0,2007-01,470.2528888046978
"[2.0, 2007, 02]",2.0,2007,2.0,2007-02,152.95169539685546
"[2.0, 2007, 03]",2.0,2007,3.0,2007-03,117.08960030308772
"[2.0, 2007, 04]",2.0,2007,4.0,2007-04,198.94847508997913
"[2.0, 2007, 05]",2.0,2007,5.0,2007-05,45.43455199848456
"[2.0, 2007, 06]",2.0,2007,6.0,2007-06,38.77344193976131
"[2.0, 2007, 07]",2.0,2007,7.0,2007-07,21.873460882742943
"[2.0, 2007, 08]",2.0,2007,8.0,2007-08,17.231293805645006
"[2.0, 2007, 09]",2.0,2007,9.0,2007-09,2.6720969880659218
"[2.0, 2007, 10]",2.0,2007,10.0,2007-10,18.439477173707143
"[2.0, 2007, 11]",2.0,2007,11.0,2007-11,74.16177306308012
"[2.0, 2007, 12]",2.0,2007,12.0,2007-12,172.77003220306878
"[3.0, 2007, 01]",3.0,2007,1.0,2007-01,564.10042865891
"[3.0, 2007, 02]",3.0,2007,2.0,2007-02,170.0759338640539
"[3.0, 2007, 03]",3.0,2007,3.0,2007-03,139.28413962033068
"[3.0, 2007, 04]",3.0,2007,4.0,2007-04,261.5774647887324
"[3.0, 2007, 05]",3.0,2007,5.0,2007-05,64.5284751990202
"[3.0, 2007, 06]",3.0,2007,6.0,2007-06,31.701775872627067
"[3.0, 2007, 07]",3.0,2007,7.0,2007-07,40.41028781383956
"[3.0, 2007, 08]",3.0,2007,8.0,2007-08,15.178199632578078
"[3.0, 2007, 09]",3.0,2007,9.0,2007-09,2.011022657685242
"[3.0, 2007, 10]",3.0,2007,10.0,2007-10,27.16105327617881
"[3.0, 2007, 11]",3.0,2007,11.0,2007-11,107.72443355786895
"[3.0, 2007, 12]",3.0,2007,12.0,2007-12,239.59216166564607
"[4.0, 2007, 01]",4.0,2007,1.0,2007-01,184.78124278124272
"[4.0, 2007, 02]",4.0,2007,2.0,2007-02,105.08939708939707
"[4.0, 2007, 03]",4.0,2007,3.0,2007-03,286.24578424578414
"[4.0, 2007, 04]",4.0,2007,4.0,2007-04,1.365211365211365
"[4.0, 2007, 05]",4.0,2007,5.0,2007-05,22.211365211365205
"[4.0, 2007, 06]",4.0,2007,6.0,2007-06,29.812196812196806
"[4.0, 2007, 07]",4.0,2007,7.0,2007-07,0.0
"[4.0, 2007, 08]",4.0,2007,8.0,2007-08,0.0
"[4.0, 2007, 09]",4.0,2007,9.0,2007-09,0.0
"[4.0, 2007, 10]",4.0,2007,10.0,2007-10,2.1002541002541
"[4.0, 2007, 11]",4.0,2007,11.0,2007-11,36.7077847077847
"[4.0, 2007, 12]",4.0,2007,12.0,2007-12,157.93531993531985
"[5.0, 2007, 01]",5.0,2007,1.0,2007-01,227.72788252356779
"[5.0, 2007, 02]",5.0,2007,2.0,2007-02,375.2255257432922
"[5.0, 2007, 03]",5.0,2007,3.0,2007-03,594.0647208121827
"[5.0, 2007, 04]",5.0,2007,4.0,2007-04,17.560369833212473
"[5.0, 2007, 05]",5.0,2007,5.0,2007-05,18.694525018129077
"[5.0, 2007, 06]",5.0,2007,6.0,2007-06,0.0
"[5.0, 2007, 07]",5.0,2007,7.0,2007-07,0.0
"[5.0, 2007, 08]",5.0,2007,8.0,2007-08,3.0659898477157355
"[5.0, 2007, 09]",5.0,2007,9.0,2007-09,35.920957215373456
"[5.0, 2007, 10]",5.0,2007,10.0,2007-10,19.692530819434374
"[5.0, 2007, 11]",5.0,2007,11.0,2007-11,124.88759970993473
"[5.0, 2007, 12]",5.0,2007,12.0,2007-12,246.27646845540244
"[6.0, 2007, 01]",6.0,2007,1.0,2007-01,213.47058823529412
"[6.0, 2007, 02]",6.0,2007,2.0,2007-02,361.29411764705884
"[6.0, 2007, 03]",6.0,2007,3.0,2007-03,533.4705882352941
"[6.0, 2007, 04]",6.0,2007,4.0,2007-04,23.11764705882353
"[6.0, 2007, 05]",6.0,2007,5.0,2007-05,17.88235294117647
"[6.0, 2007, 06]",6.0,2007,6.0,2007-06,0.0
"[6.0, 2007, 07]",6.0,2007,7.0,2007-07,0.0
"[6.0, 2007, 08]",6.0,2007,8.0,2007-08,2.411764705882353
"[6.0, 2007, 09]",6.0,2007,9.0,2007-09,19.352941176470587
"[6.0, 2007, 10]",6.0,2007,10.0,2007-10,12.117647058823529
"[6.0, 2007, 11]",6.0,2007,11.0,2007-11,102.6470588235294
"[6.0, 2007, 12]",6.0,2007,12.0,2007-12,220.0
"[7.0, 2007, 01]",7.0,2007,1.0,2007-01,310.6333089846603
"[7.0, 2007, 02]",7.0,2007,2.0,2007-02,341.7337472607743
"[7.0, 2007, 03]",7.0,2007,3.0,2007-03,513.9386413440467
"[7.0, 2007, 04]",7.0,2007,4.0,2007-04,216.64718772826876
"[7.0, 2007, 05]",7.0,2007,5.0,2007-05,444.49817384952513
"[7.0, 2007, 06]",7.0,2007,6.0,2007-06,508.4072315558802
"[7.0, 2007, 07]",7.0,2007,7.0,2007-07,150.84477720964207
"[7.0, 2007, 08]",7.0,2007,8.0,2007-08,399.30642804967124
"[7.0, 2007, 09]",7.0,2007,9.0,2007-09,50.33199415631847
"[7.0, 2007, 10]",7.0,2007,10.0,2007-10,303.9317019722425
"[7.0, 2007, 11]",7.0,2007,11.0,2007-11,248.32980277574868
"[7.0, 2007, 12]",7.0,2007,12.0,2007-12,242.87034331628922
"[8.0, 2007, 01]",8.0,2007,1.0,2007-01,259.9197565648597
"[8.0, 2007, 02]",8.0,2007,2.0,2007-02,180.97182463653795
"[8.0, 2007, 03]",8.0,2007,3.0,2007-03,446.1851684886737
"[8.0, 2007, 04]",8.0,2007,4.0,2007-04,166.78507832751046
"[8.0, 2007, 05]",8.0,2007,5.0,2007-05,96.15868364701906
"[8.0, 2007, 06]",8.0,2007,6.0,2007-06,288.3313422743154
"[8.0, 2007, 07]",8.0,2007,7.0,2007-07,26.129043164656824
"[8.0, 2007, 08]",8.0,2007,8.0,2007-08,151.36684323227772
"[8.0, 2007, 09]",8.0,2007,9.0,2007-09,12.29076975092979
"[8.0, 2007, 10]",8.0,2007,10.0,2007-10,63.79195311619522
"[8.0, 2007, 11]",8.0,2007,11.0,2007-11,133.05499830947824
"[8.0, 2007, 12]",8.0,2007,12.0,2007-12,124.00090161163082
"[9.0, 2007, 01]",9.0,2007,1.0,2007-01,265.183193909202
"[9.0, 2007, 02]",9.0,2007,2.0,2007-02,189.04577497885137
"[9.0, 2007, 03]",9.0,2007,3.0,2007-03,455.735783438293
"[9.0, 2007, 04]",9.0,2007,4.0,2007-04,151.6963060438011
"[9.0, 2007, 05]",9.0,2007,5.0,2007-05,104.45417802425038
"[9.0, 2007, 06]",9.0,2007,6.0,2007-06,262.7417990412632
"[9.0, 2007, 07]",9.0,2007,7.0,2007-07,24.293824607575896
"[9.0, 2007, 08]",9.0,2007,8.0,2007-08,110.93063257824981
"[9.0, 2007, 09]",9.0,2007,9.0,2007-09,9.970485947927436
"[9.0, 2007, 10]",9.0,2007,10.0,2007-10,66.07942475796597
"[9.0, 2007, 11]",9.0,2007,11.0,2007-11,135.6507190525425
"[9.0, 2007, 12]",9.0,2007,12.0,2007-12,123.6942381802801
"[10.0, 2007, 01]",10.0,2007,1.0,2007-01,247.29162572333217
"[10.0, 2007, 02]",10.0,2007,2.0,2007-02,171.4138006332569
"[10.0, 2007, 03]",10.0,2007,3.0,2007-03,437.0960803581176
"[10.0, 2007, 04]",10.0,2007,4.0,2007-04,176.50584124904458
"[10.0, 2007, 05]",10.0,2007,5.0,2007-05,102.23583360628886
"[10.0, 2007, 06]",10.0,2007,6.0,2007-06,307.22971940168134
"[10.0, 2007, 07]",10.0,2007,7.0,2007-07,28.325581395348827
"[10.0, 2007, 08]",10.0,2007,8.0,2007-08,184.26454853149897
