uid,grid_id,year,month,srad_mj_m2_day
"[1.0, 2016, 01]",1.0,2016,1.0,2566.4769351055515
"[1.0, 2016, 02]",1.0,2016,2.0,2857.0914777169664
"[1.0, 2016, 03]",1.0,2016,3.0,2323.3792025019548
"[1.0, 2016, 04]",1.0,2016,4.0,1919.3448006254887
"[1.0, 2016, 05]",1.0,2016,5.0,1568.2220484753714
"[1.0, 2016, 06]",1.0,2016,6.0,1422.430023455825
"[1.0, 2016, 07]",1.0,2016,7.0,1470.0508209538702
"[1.0, 2016, 08]",1.0,2016,8.0,1888.1102423768568
"[1.0, 2016, 09]",1.0,2016,9.0,2321.2494136043783
"[1.0, 2016, 10]",1.0,2016,10.0,2643.6067240031275
"[1.0, 2016, 11]",1.0,2016,11.0,2368.9163408913214
"[1.0, 2016, 12]",1.0,2016,12.0,2265.4605160281467
"[2.0, 2016, 01]",2.0,2016,1.0,2406.426552547771
"[2.0, 2016, 02]",2.0,2016,2.0,2765.920183121019
"[2.0, 2016, 03]",2.0,2016,3.0,2229.991242038216
"[2.0, 2016, 04]",2.0,2016,4.0,1885.5003980891715
"[2.0, 2016, 05]",2.0,2016,5.0,1492.3652468152866
"[2.0, 2016, 06]",2.0,2016,6.0,1417.7567675159235
"[2.0, 2016, 07]",2.0,2016,7.0,1491.199243630573
"[2.0, 2016, 08]",2.0,2016,8.0,1844.514132165605
"[2.0, 2016, 09]",2.0,2016,9.0,2343.7052149681526
"[2.0, 2016, 10]",2.0,2016,10.0,2666.99701433121
"[2.0, 2016, 11]",2.0,2016,11.0,2360.3807722929932
"[2.0, 2016, 12]",2.0,2016,12.0,2360.93152866242
"[3.0, 2016, 01]",3.0,2016,1.0,2368.891319207109
"[3.0, 2016, 02]",3.0,2016,2.0,2694.4846206425154
"[3.0, 2016, 03]",3.0,2016,3.0,2182.3984962406016
"[3.0, 2016, 04]",3.0,2016,4.0,1882.1312371838687
"[3.0, 2016, 05]",3.0,2016,5.0,1495.1838687628162
"[3.0, 2016, 06]",3.0,2016,6.0,1402.3438140806563
"[3.0, 2016, 07]",3.0,2016,7.0,1503.235133287765
"[3.0, 2016, 08]",3.0,2016,8.0,1846.5481886534517
"[3.0, 2016, 09]",3.0,2016,9.0,2380.527682843472
"[3.0, 2016, 10]",3.0,2016,10.0,2705.7402597402597
"[3.0, 2016, 11]",3.0,2016,11.0,2382.409432672591
"[3.0, 2016, 12]",3.0,2016,12.0,2354.4606971975395
"[4.0, 2016, 01]",4.0,2016,1.0,2845.359447004608
"[4.0, 2016, 02]",4.0,2016,2.0,2878.6425279789337
"[4.0, 2016, 03]",4.0,2016,3.0,2716.872613561554
"[4.0, 2016, 04]",4.0,2016,4.0,2638.0424621461484
"[4.0, 2016, 05]",4.0,2016,5.0,2024.3074391046741
"[4.0, 2016, 06]",4.0,2016,6.0,2116.097761685319
"[4.0, 2016, 07]",4.0,2016,7.0,2228.09874917709
"[4.0, 2016, 08]",4.0,2016,8.0,2489.217577353522
"[4.0, 2016, 09]",4.0,2016,9.0,2548.5141540487166
"[4.0, 2016, 10]",4.0,2016,10.0,3052.2527978933504
"[4.0, 2016, 11]",4.0,2016,11.0,2976.5737327188936
"[4.0, 2016, 12]",4.0,2016,12.0,2302.5332455562875
"[5.0, 2016, 01]",5.0,2016,1.0,2727.8480783176215
"[5.0, 2016, 02]",5.0,2016,2.0,2688.434735315446
"[5.0, 2016, 03]",5.0,2016,3.0,2573.485315445975
"[5.0, 2016, 04]",5.0,2016,4.0,2588.738216098622
"[5.0, 2016, 05]",5.0,2016,5.0,2083.7545322697606
"[5.0, 2016, 06]",5.0,2016,6.0,2145.5801305293685
"[5.0, 2016, 07]",5.0,2016,7.0,2252.156453952139
"[5.0, 2016, 08]",5.0,2016,8.0,2472.71609862219
"[5.0, 2016, 09]",5.0,2016,9.0,2394.8237853517044
"[5.0, 2016, 10]",5.0,2016,10.0,2694.311820159536
"[5.0, 2016, 11]",5.0,2016,11.0,2762.850072516316
"[5.0, 2016, 12]",5.0,2016,12.0,2165.1829224075414
"[6.0, 2016, 01]",6.0,2016,1.0,2731.4375
"[6.0, 2016, 02]",6.0,2016,2.0,2652.875
"[6.0, 2016, 03]",6.0,2016,3.0,2558.0
"[6.0, 2016, 04]",6.0,2016,4.0,2601.25
"[6.0, 2016, 05]",6.0,2016,5.0,2086.5
"[6.0, 2016, 06]",6.0,2016,6.0,2128.875
"[6.0, 2016, 07]",6.0,2016,7.0,2240.6875
"[6.0, 2016, 08]",6.0,2016,8.0,2467.0625
"[6.0, 2016, 09]",6.0,2016,9.0,2406.4375
"[6.0, 2016, 10]",6.0,2016,10.0,2666.875
"[6.0, 2016, 11]",6.0,2016,11.0,2773.9375
"[6.0, 2016, 12]",6.0,2016,12.0,2216.75
"[7.0, 2016, 01]",7.0,2016,1.0,2376.6953981008032
"[7.0, 2016, 02]",7.0,2016,2.0,2047.8882395909418
"[7.0, 2016, 03]",7.0,2016,3.0,1792.043097151205
"[7.0, 2016, 04]",7.0,2016,4.0,1630.7392257121987
"[7.0, 2016, 05]",7.0,2016,5.0,1947.088020452885
"[7.0, 2016, 06]",7.0,2016,6.0,1818.0441928414898
"[7.0, 2016, 07]",7.0,2016,7.0,1520.1745799853907
"[7.0, 2016, 08]",7.0,2016,8.0,1633.8849525200874
"[7.0, 2016, 09]",7.0,2016,9.0,1672.4660336011684
"[7.0, 2016, 10]",7.0,2016,10.0,1894.027757487217
"[7.0, 2016, 11]",7.0,2016,11.0,2188.599707815924
"[7.0, 2016, 12]",7.0,2016,12.0,1873.4397370343313
"[8.0, 2016, 01]",8.0,2016,1.0,2605.2943838477613
"[8.0, 2016, 02]",8.0,2016,2.0,2362.1522394987246
"[8.0, 2016, 03]",8.0,2016,3.0,2136.2340450220477
"[8.0, 2016, 04]",8.0,2016,4.0,2076.3776978417272
"[8.0, 2016, 05]",8.0,2016,5.0,1998.2875377117666
"[8.0, 2016, 06]",8.0,2016,6.0,1847.8232768623818
"[8.0, 2016, 07]",8.0,2016,7.0,1773.342770944536
"[8.0, 2016, 08]",8.0,2016,8.0,1942.0143884892095
"[8.0, 2016, 09]",8.0,2016,9.0,1964.4489440705509
"[8.0, 2016, 10]",8.0,2016,10.0,2292.496867022512
"[8.0, 2016, 11]",8.0,2016,11.0,2459.31933163147
"[8.0, 2016, 12]",8.0,2016,12.0,2150.3180552332333
"[9.0, 2016, 01]",9.0,2016,1.0,2616.5589811072464
"[9.0, 2016, 02]",9.0,2016,2.0,2313.0451170222764
"[9.0, 2016, 03]",9.0,2016,3.0,2109.2005827615376
"[9.0, 2016, 04]",9.0,2016,4.0,2065.8509258388945
"[9.0, 2016, 05]",9.0,2016,5.0,2015.641507660494
"[9.0, 2016, 06]",9.0,2016,6.0,1863.9190713412913
"[9.0, 2016, 07]",9.0,2016,7.0,1773.6002443838704
"[9.0, 2016, 08]",9.0,2016,8.0,1939.7777986652882
"[9.0, 2016, 09]",9.0,2016,9.0,1950.8919071341288
"[9.0, 2016, 10]",9.0,2016,10.0,2302.1922173136572
"[9.0, 2016, 11]",9.0,2016,11.0,2489.794811542438
"[9.0, 2016, 12]",9.0,2016,12.0,2177.4529561048967
"[10.0, 2016, 01]",10.0,2016,1.0,2616.0994932257727
"[10.0, 2016, 02]",10.0,2016,2.0,2398.639880028958
"[10.0, 2016, 03]",10.0,2016,3.0,2159.6349157100003
"[10.0, 2016, 04]",10.0,2016,4.0,2073.713827696762
"[10.0, 2016, 05]",10.0,2016,5.0,1984.0579170545027
"[10.0, 2016, 06]",10.0,2016,6.0,1833.6439135381113
