uid,grid_id,year,month,tavg_celsius,tmmx_celsius,tmmn_celsius
"[1.0, 2019, 01]",1.0,2019,1.0,27.143914956011734,31.568255131964808,22.71957478005865
"[1.0, 2019, 02]",1.0,2019,2.0,27.321370967741938,31.555205278592382,23.08753665689149
"[1.0, 2019, 03]",1.0,2019,3.0,26.478042521994134,30.943328445747802,22.012756598240465
"[1.0, 2019, 04]",1.0,2019,4.0,25.450146627565978,30.39376832844574,20.506524926686218
"[1.0, 2019, 05]",1.0,2019,5.0,22.531304985337247,28.30623167155425,16.756378299120232
"[1.0, 2019, 06]",1.0,2019,6.0,21.049560117302057,27.02463343108505,15.074486803519061
"[1.0, 2019, 07]",1.0,2019,7.0,20.74985337243402,26.69376832844575,14.805938416422292
"[1.0, 2019, 08]",1.0,2019,8.0,22.546004398826984,28.19882697947215,16.89318181818182
"[1.0, 2019, 09]",1.0,2019,9.0,22.85267595307918,28.218108504398824,17.48724340175953
"[1.0, 2019, 10]",1.0,2019,10.0,25.81202346041056,30.499120234604106,21.12492668621701
"[1.0, 2019, 11]",1.0,2019,11.0,27.693035190615834,32.217228739002934,23.168841642228738
"[1.0, 2019, 12]",1.0,2019,12.0,28.027162756598244,32.51070381231672,23.54362170087976
"[2.0, 2019, 01]",2.0,2019,1.0,28.07391551430195,32.05597651070278,24.091854517901115
"[2.0, 2019, 02]",2.0,2019,2.0,28.44853191892404,32.43841636673613,24.458647471111956
"[2.0, 2019, 03]",2.0,2019,3.0,27.117247584769842,31.001212350824012,23.233282818715665
"[2.0, 2019, 04]",2.0,2019,4.0,26.7014964955484,31.017882174654282,22.385110816442506
"[2.0, 2019, 05]",2.0,2019,5.0,24.38376586474711,29.242697480583438,19.52483424891078
"[2.0, 2019, 06]",2.0,2019,6.0,22.265561659405193,27.190585338132227,17.340537980678157
"[2.0, 2019, 07]",2.0,2019,7.0,22.028840689524532,26.775904527372603,17.28177685167645
"[2.0, 2019, 08]",2.0,2019,8.0,23.34465807918166,28.077533623792384,18.611782534570942
"[2.0, 2019, 09]",2.0,2019,9.0,23.64656184883501,28.230858117067633,19.06226558060239
"[2.0, 2019, 10]",2.0,2019,10.0,26.883879522636864,31.28459935593862,22.483159689335096
"[2.0, 2019, 11]",2.0,2019,11.0,27.89769842773252,32.269407084675116,23.525989770789916
"[2.0, 2019, 12]",2.0,2019,12.0,28.77277893540443,33.01752225800341,24.52803561280546
"[3.0, 2019, 01]",3.0,2019,1.0,28.21390977443609,32.631168831168836,23.79665071770335
"[3.0, 2019, 02]",3.0,2019,2.0,28.54542036910458,32.72904989747095,24.361790840738212
"[3.0, 2019, 03]",3.0,2019,3.0,27.27535885167465,31.353178400546817,23.19753930280246
"[3.0, 2019, 04]",3.0,2019,4.0,26.775529733424474,31.13943950786057,22.411619958988386
"[3.0, 2019, 05]",3.0,2019,5.0,24.072966507177032,28.96425153793575,19.18168147641832
"[3.0, 2019, 06]",3.0,2019,6.0,21.97604237867396,26.93766233766234,17.01442241968558
"[3.0, 2019, 07]",3.0,2019,7.0,21.71196172248804,26.66302118933698,16.7609022556391
"[3.0, 2019, 08]",3.0,2019,8.0,23.20967190704033,28.152631578947368,18.26671223513329
"[3.0, 2019, 09]",3.0,2019,9.0,23.77033492822967,29.05317840054682,18.48749145591251
"[3.0, 2019, 10]",3.0,2019,10.0,27.200000000000003,32.2544087491456,22.145591250854412
"[3.0, 2019, 11]",3.0,2019,11.0,28.330109364319895,33.275187969924815,23.385030758714972
"[3.0, 2019, 12]",3.0,2019,12.0,28.927375256322623,33.649829118250175,24.204921394395086
"[4.0, 2019, 01]",4.0,2019,1.0,31.91277276694792,37.106226360197844,26.719319173697997
"[4.0, 2019, 02]",4.0,2019,2.0,32.014242071574046,37.05475705557172,26.973727087576382
"[4.0, 2019, 03]",4.0,2019,3.0,31.987052662205414,37.3794006400931,26.594704684317723
