uid,grid_id,year,month,tavg_celsius,tmmx_celsius,tmmn_celsius
"[1.0, 2018, 01]",1.0,2018,1.0,27.263461538461538,32.51558018252934,22.011342894393746
"[1.0, 2018, 02]",1.0,2018,2.0,27.382985658409392,31.21584093872229,23.550130378096476
"[1.0, 2018, 03]",1.0,2018,3.0,27.199869621903513,31.16069100391135,23.239048239895702
"[1.0, 2018, 04]",1.0,2018,4.0,25.94986962190352,30.36649282920469,21.533246414602353
"[1.0, 2018, 05]",1.0,2018,5.0,23.755410691003906,29.038787483702734,18.47203389830509
"[1.0, 2018, 06]",1.0,2018,6.0,21.61069100391135,27.266232073011736,15.955149934810951
"[1.0, 2018, 07]",1.0,2018,7.0,20.622033898305084,25.87757496740548,15.366492829204697
"[1.0, 2018, 08]",1.0,2018,8.0,22.991297262059977,29.082594524119948,16.900000000000002
"[1.0, 2018, 09]",1.0,2018,9.0,24.446968709256847,30.155149934810947,18.738787483702737
"[1.0, 2018, 10]",1.0,2018,10.0,24.349869621903526,29.405019556714482,19.294719687092577
"[1.0, 2018, 11]",1.0,2018,11.0,25.527444589308995,30.026662320730118,21.028226857887876
"[1.0, 2018, 12]",1.0,2018,12.0,27.25264015645372,31.42692307692308,23.078357235984353
"[2.0, 2018, 01]",2.0,2018,1.0,27.679863610532294,32.51413146429247,22.845595756772116
"[2.0, 2018, 02]",2.0,2018,2.0,28.283064974426978,31.939856033339638,24.6262739155143
"[2.0, 2018, 03]",2.0,2018,3.0,27.77038264822883,31.154347414283013,24.386417882174655
"[2.0, 2018, 04]",2.0,2018,4.0,26.69623034665657,30.478499715855275,22.913960977457855
"[2.0, 2018, 05]",2.0,2018,5.0,25.101998484561467,29.54474332259898,20.659253646523965
"[2.0, 2018, 06]",2.0,2018,6.0,22.79134305739724,27.444326577003228,18.13835953779125
"[2.0, 2018, 07]",2.0,2018,7.0,22.021831786323165,25.773726084485695,18.269937488160632
"[2.0, 2018, 08]",2.0,2018,8.0,23.91170676264444,29.208562227694635,18.614851297594242
"[2.0, 2018, 09]",2.0,2018,9.0,25.37847130138284,30.260863799962113,20.49607880280356
"[2.0, 2018, 10]",2.0,2018,10.0,25.489638189050954,30.23815116499337,20.74112521310854
"[2.0, 2018, 11]",2.0,2018,11.0,26.33422996779693,30.693559386247394,21.974900549346465
"[2.0, 2018, 12]",2.0,2018,12.0,27.62162341352529,31.526633832165174,23.716612994885395
"[3.0, 2018, 01]",3.0,2018,1.0,27.808236434108537,33.09651162790698,22.51996124031007
"[3.0, 2018, 02]",3.0,2018,2.0,28.159399224806197,32.01647286821706,24.30232558139535
"[3.0, 2018, 03]",3.0,2018,3.0,27.714147286821706,31.274547803617576,24.153746770025844
"[3.0, 2018, 04]",3.0,2018,4.0,26.50765503875969,30.32629198966408,22.6890180878553
"[3.0, 2018, 05]",3.0,2018,5.0,24.718959948320418,29.188178294573646,20.249741602067193
"[3.0, 2018, 06]",3.0,2018,6.0,22.490503875968997,27.19599483204135,17.78501291989664
"[3.0, 2018, 07]",3.0,2018,7.0,21.56521317829457,25.522286821705425,17.608139534883716
"[3.0, 2018, 08]",3.0,2018,8.0,23.525613695090442,29.099160206718345,17.95206718346253
"[3.0, 2018, 09]",3.0,2018,9.0,25.355490956072355,30.93378552971577,19.777196382428944
"[3.0, 2018, 10]",3.0,2018,10.0,25.550000000000004,30.945930232558148,20.15406976744186
"[3.0, 2018, 11]",3.0,2018,11.0,26.632364341085268,31.566731266149873,21.697997416020677
"[3.0, 2018, 12]",3.0,2018,12.0,27.723546511627905,32.13927648578811,23.307816537467705
"[4.0, 2018, 01]",4.0,2018,1.0,30.072496050552925,35.47598736176935,24.669004739336494
"[4.0, 2018, 02]",4.0,2018,2.0,29.71963665086888,34.821327014218014,24.617946287519754
"[4.0, 2018, 03]",4.0,2018,3.0,30.138404423380724,36.42287519747236,23.853933649289107
"[4.0, 2018, 04]",4.0,2018,4.0,29.655766192733015,36.05665086887836,23.25488151658768
"[4.0, 2018, 05]",4.0,2018,5.0,25.476903633491315,32.783507109004745,18.17030015797788
"[4.0, 2018, 06]",4.0,2018,6.0,23.681484992101105,30.55304897314376,16.809921011058453
"[4.0, 2018, 07]",4.0,2018,7.0,23.54298578199052,31.122274881516585,15.963696682464455
"[4.0, 2018, 08]",4.0,2018,8.0,23.8873775671406,31.937156398104264,15.837598736176936
"[4.0, 2018, 09]",4.0,2018,9.0,28.539731437598732,35.78859399684045,21.290868878357028
"[4.0, 2018, 10]",4.0,2018,10.0,31.50472353870458,38.68347551342812,24.325971563981042
"[4.0, 2018, 11]",4.0,2018,11.0,32.164312796208534,38.57785150078989,25.75077409162718
"[4.0, 2018, 12]",4.0,2018,12.0,32.860221169036336,39.09213270142181,26.628309636650872
"[5.0, 2018, 01]",5.0,2018,1.0,27.8904278462654,31.993401015228418,23.78745467730239
"[5.0, 2018, 02]",5.0,2018,2.0,27.977592458303107,31.794434372733868,24.160750543872364
"[5.0, 2018, 03]",5.0,2018,3.0,28.36273567802756,33.07028643944887,23.65518491660624
"[5.0, 2018, 04]",5.0,2018,4.0,28.799338288614933,34.732360406091374,22.866316171138504
"[5.0, 2018, 05]",5.0,2018,5.0,25.88467186366933,32.498404641044225,19.270939086294412
"[5.0, 2018, 06]",5.0,2018,6.0,24.490944525018126,31.846229151559108,17.135659898477158
"[5.0, 2018, 07]",5.0,2018,7.0,24.3371192893401,32.06027918781726,16.613959390862945
"[5.0, 2018, 08]",5.0,2018,8.0,23.994180565627268,31.770268310369843,16.2180928208847
"[5.0, 2018, 09]",5.0,2018,9.0,27.419660986221892,34.469144307469186,20.370177664974616
"[5.0, 2018, 10]",5.0,2018,10.0,29.64947425670776,36.10707034082668,23.19187817258883
"[5.0, 2018, 11]",5.0,2018,11.0,29.694905728788978,35.163397389412616,24.226414068165333
"[5.0, 2018, 12]",5.0,2018,12.0,30.782360406091367,35.255474981870925,26.309245830311813
"[6.0, 2018, 01]",6.0,2018,1.0,27.878125,31.9375,23.818749999999998
"[6.0, 2018, 02]",6.0,2018,2.0,28.093750000000007,31.8375,24.35
"[6.0, 2018, 03]",6.0,2018,3.0,28.393750000000004,32.875,23.9125
"[6.0, 2018, 04]",6.0,2018,4.0,28.8,34.525,23.075000000000003
"[6.0, 2018, 05]",6.0,2018,5.0,25.9625,32.237500000000004,19.687499999999996
"[6.0, 2018, 06]",6.0,2018,6.0,24.621875,31.862499999999997,17.38125
"[6.0, 2018, 07]",6.0,2018,7.0,24.28125,31.887499999999996,16.675
"[6.0, 2018, 08]",6.0,2018,8.0,24.1375,31.643749999999997,16.63125
"[6.0, 2018, 09]",6.0,2018,9.0,27.496875000000003,34.50625,20.4875
"[6.0, 2018, 10]",6.0,2018,10.0,29.731250000000006,36.225,23.2375
"[6.0, 2018, 11]",6.0,2018,11.0,29.690624999999997,35.2,24.181250000000002
"[6.0, 2018, 12]",6.0,2018,12.0,30.759375,35.212500000000006,26.30625
"[7.0, 2018, 01]",7.0,2018,1.0,27.526205259313365,32.102300949598245,22.95010956902849
"[7.0, 2018, 02]",7.0,2018,2.0,27.177994886778666,31.773338203067933,22.582651570489407
"[7.0, 2018, 03]",7.0,2018,3.0,27.262308254200146,31.425602629656684,23.099013878743605
"[7.0, 2018, 04]",7.0,2018,4.0,27.216325785244702,30.939517896274655,23.493133674214754
"[7.0, 2018, 05]",7.0,2018,5.0,26.573356464572676,29.917494521548573,23.22921840759679
"[7.0, 2018, 06]",7.0,2018,6.0,25.81634404674945,28.97443389335281,22.65825420014609
"[7.0, 2018, 07]",7.0,2018,7.0,25.44665814463112,28.46062819576333,22.432688093498907
"[7.0, 2018, 08]",7.0,2018,8.0,25.341325785244706,28.5581811541271,22.124470416362307
"[7.0, 2018, 09]",7.0,2018,9.0,25.378542731921115,28.914024835646458,21.843060628195765
"[7.0, 2018, 10]",7.0,2018,10.0,26.169850255661064,30.360555149744332,21.979145361577793
"[7.0, 2018, 11]",7.0,2018,11.0,27.793115412710005,32.58498904309715,23.001241782322868
"[7.0, 2018, 12]",7.0,2018,12.0,28.628579254930607,33.45357925493061,23.803579254930604
"[8.0, 2018, 01]",8.0,2018,1.0,29.18651079136691,32.99017173358091,25.38284984915295
"[8.0, 2018, 02]",8.0,2018,2.0,28.805442097934577,32.450301694128584,25.16058250174055
"[8.0, 2018, 03]",8.0,2018,3.0,28.665798329078687,32.251705732188455,25.079890925968922
"[8.0, 2018, 04]",8.0,2018,4.0,28.954740078904635,32.62663030865633,25.282849849152942
"[8.0, 2018, 05]",8.0,2018,5.0,27.021565328382458,30.867753539104207,23.175377117660727
"[8.0, 2018, 06]",8.0,2018,6.0,26.790096310048753,30.406370387560926,23.173822232536555
"[8.0, 2018, 07]",8.0,2018,7.0,26.287061963332558,29.816500348108615,22.757623578556522
"[8.0, 2018, 08]",8.0,2018,8.0,25.529664655372496,29.572418194476693,21.486911116268285
"[8.0, 2018, 09]",8.0,2018,9.0,26.579362961243916,30.937212810396847,22.221513112090985
"[8.0, 2018, 10]",8.0,2018,10.0,27.37873636574612,31.593130656764938,23.16434207472732
"[8.0, 2018, 11]",8.0,2018,11.0,29.005592944998845,33.1124390809933,24.898746809004415
"[8.0, 2018, 12]",8.0,2018,12.0,29.750226270596432,33.57974007890464,25.920712462288243
"[9.0, 2018, 01]",9.0,2018,1.0,28.76501550897641,32.6722906288185,24.857740389134324
"[9.0, 2018, 02]",9.0,2018,2.0,28.371595074725082,32.20607199924804,24.53711815020208
"[9.0, 2018, 03]",9.0,2018,3.0,28.296733715574767,31.90217125669705,24.691296174452475
"[9.0, 2018, 04]",9.0,2018,4.0,28.48015320988814,32.19832691042391,24.76197950935238
"[9.0, 2018, 05]",9.0,2018,5.0,26.914493843406333,30.75055926308863,23.078428423724038
"[9.0, 2018, 06]",9.0,2018,6.0,26.518530876962114,30.24944073691136,22.78762101701288
"[9.0, 2018, 07]",9.0,2018,7.0,26.02343735313469,29.65596390638218,22.39091079988721
"[9.0, 2018, 08]",9.0,2018,8.0,25.47934956292884,29.628151142024624,21.330547983833053
"[9.0, 2018, 09]",9.0,2018,9.0,26.3615941347871,31.08405865212896,21.639129617445242
"[9.0, 2018, 10]",9.0,2018,10.0,27.298355108562827,31.90730331798102,22.68940689914466
"[9.0, 2018, 11]",9.0,2018,11.0,28.818779960522612,33.20774508882411,24.429814832221073
"[9.0, 2018, 12]",9.0,2018,12.0,29.393979697339976,33.37129429457655,25.416665100103398
"[10.0, 2018, 01]",10.0,2018,1.0,29.045046023373665,32.82298065984072,25.267111386906606
"[10.0, 2018, 02]",10.0,2018,2.0,28.719764194849507,32.32884476160925,25.110683628089763
"[10.0, 2018, 03]",10.0,2018,3.0,28.567282035370766,32.17800186161961,24.956562209121923
"[10.0, 2018, 04]",10.0,2018,4.0,28.934310683628084,32.628699968972995,25.239921398283172
"[10.0, 2018, 05]",10.0,2018,5.0,27.090733271279326,30.915596235391448,23.26587030716724
"[10.0, 2018, 06]",10.0,2018,6.0,26.784533043748052,30.359478746509446,23.209587340986655
"[10.0, 2018, 07]",10.0,2018,7.0,26.2921656841452,29.826228151825408,22.758103216464992
"[10.0, 2018, 08]",10.0,2018,8.0,25.57130520219257,29.566635639673176,21.57597476471197
"[10.0, 2018, 09]",10.0,2018,9.0,26.647104147274792,30.912369428069074,22.3818388664805
"[10.0, 2018, 10]",10.0,2018,10.0,27.38355569345329,31.52081911262798,23.24629227427863
"[10.0, 2018, 11]",10.0,2018,11.0,28.83592925845485,32.932464577515766,24.73939393939394
"[10.0, 2018, 12]",10.0,2018,12.0,29.66168683421243,33.48925431792327,25.834119350501602
"[11.0, 2018, 01]",11.0,2018,1.0,27.13084033613446,32.25381752701081,22.007863145258113
"[11.0, 2018, 02]",11.0,2018,2.0,26.751764705882362,31.52651860744299,21.97701080432173
