uid,grid_id,year,month,date,vpd_pa
"[1.0, 2018, 01]",1.0,2018,1.0,2018-01,121.53846153846155
"[1.0, 2018, 02]",1.0,2018,2.0,2018-02,56.89960886571057
"[1.0, 2018, 03]",1.0,2018,3.0,2018-03,79.17405475880052
"[1.0, 2018, 04]",1.0,2018,4.0,2018-04,67.35332464146023
"[1.0, 2018, 05]",1.0,2018,5.0,2018-05,56.1212516297262
"[1.0, 2018, 06]",1.0,2018,6.0,2018-06,52.894393741851374
"[1.0, 2018, 07]",1.0,2018,7.0,2018-07,40.39830508474576
"[1.0, 2018, 08]",1.0,2018,8.0,2018-08,57.31942633637549
"[1.0, 2018, 09]",1.0,2018,9.0,2018-09,83.4328552803129
"[1.0, 2018, 10]",1.0,2018,10.0,2018-10,91.79661016949152
"[1.0, 2018, 11]",1.0,2018,11.0,2018-11,93.83898305084746
"[1.0, 2018, 12]",1.0,2018,12.0,2018-12,96.4432855280313
"[2.0, 2018, 01]",2.0,2018,1.0,2018-01,107.51562795984088
"[2.0, 2018, 02]",2.0,2018,2.0,2018-02,98.45652585716991
"[2.0, 2018, 03]",2.0,2018,3.0,2018-03,95.86891456715287
"[2.0, 2018, 04]",2.0,2018,4.0,2018-04,87.83633263875734
"[2.0, 2018, 05]",2.0,2018,5.0,2018-05,75.54953589695016
"[2.0, 2018, 06]",2.0,2018,6.0,2018-06,68.31464292479636
"[2.0, 2018, 07]",2.0,2018,7.0,2018-07,53.080318242091295
"[2.0, 2018, 08]",2.0,2018,8.0,2018-08,77.38700511460503
"[2.0, 2018, 09]",2.0,2018,9.0,2018-09,93.50729304792574
"[2.0, 2018, 10]",2.0,2018,10.0,2018-10,94.11498389846562
"[2.0, 2018, 11]",2.0,2018,11.0,2018-11,97.4133358590642
"[2.0, 2018, 12]",2.0,2018,12.0,2018-12,108.66433036559954
"[3.0, 2018, 01]",3.0,2018,1.0,2018-01,106.65051679586564
"[3.0, 2018, 02]",3.0,2018,2.0,2018-02,96.28940568475453
"[3.0, 2018, 03]",3.0,2018,3.0,2018-03,94.08656330749355
"[3.0, 2018, 04]",3.0,2018,4.0,2018-04,81.078165374677
"[3.0, 2018, 05]",3.0,2018,5.0,2018-05,68.07299741602067
"[3.0, 2018, 06]",3.0,2018,6.0,2018-06,58.833333333333336
"[3.0, 2018, 07]",3.0,2018,7.0,2018-07,45.67700258397933
"[3.0, 2018, 08]",3.0,2018,8.0,2018-08,73.68863049095607
"[3.0, 2018, 09]",3.0,2018,9.0,2018-09,94.16795865633075
"[3.0, 2018, 10]",3.0,2018,10.0,2018-10,87.7170542635659
"[3.0, 2018, 11]",3.0,2018,11.0,2018-11,97.76033591731267
"[3.0, 2018, 12]",3.0,2018,12.0,2018-12,109.52906976744187
"[4.0, 2018, 01]",4.0,2018,1.0,2018-01,164.87709320695103
"[4.0, 2018, 02]",4.0,2018,2.0,2018-02,157.27930489731438
"[4.0, 2018, 03]",4.0,2018,3.0,2018-03,238.85244865718798
"[4.0, 2018, 04]",4.0,2018,4.0,2018-04,212.79810426540283
"[4.0, 2018, 05]",4.0,2018,5.0,2018-05,246.3080568720379
"[4.0, 2018, 06]",4.0,2018,6.0,2018-06,209.05592417061612
"[4.0, 2018, 07]",4.0,2018,7.0,2018-07,212.1001579778831
"[4.0, 2018, 08]",4.0,2018,8.0,2018-08,230.3563981042654
"[4.0, 2018, 09]",4.0,2018,9.0,2018-09,236.73680884676145
"[4.0, 2018, 10]",4.0,2018,10.0,2018-10,249.9055292259084
"[4.0, 2018, 11]",4.0,2018,11.0,2018-11,224.5703001579779
"[4.0, 2018, 12]",4.0,2018,12.0,2018-12,377.3665086887835
"[5.0, 2018, 01]",5.0,2018,1.0,2018-01,98.61058738216097
"[5.0, 2018, 02]",5.0,2018,2.0,2018-02,90.87001450326322
"[5.0, 2018, 03]",5.0,2018,3.0,2018-03,93.06236403190717
"[5.0, 2018, 04]",5.0,2018,4.0,2018-04,122.9773386511965
"[5.0, 2018, 05]",5.0,2018,5.0,2018-05,167.86892675852067
"[5.0, 2018, 06]",5.0,2018,6.0,2018-06,135.8236040609137
"[5.0, 2018, 07]",5.0,2018,7.0,2018-07,113.02139231327048
"[5.0, 2018, 08]",5.0,2018,8.0,2018-08,109.29477882523567
"[5.0, 2018, 09]",5.0,2018,9.0,2018-09,108.25978970268311
"[5.0, 2018, 10]",5.0,2018,10.0,2018-10,118.99709934735314
"[5.0, 2018, 11]",5.0,2018,11.0,2018-11,133.92911530094273
"[5.0, 2018, 12]",5.0,2018,12.0,2018-12,131.70467730239304
"[6.0, 2018, 01]",6.0,2018,1.0,2018-01,88.4375
"[6.0, 2018, 02]",6.0,2018,2.0,2018-02,83.25
"[6.0, 2018, 03]",6.0,2018,3.0,2018-03,88.4375
"[6.0, 2018, 04]",6.0,2018,4.0,2018-04,120.0
"[6.0, 2018, 05]",6.0,2018,5.0,2018-05,157.0625
"[6.0, 2018, 06]",6.0,2018,6.0,2018-06,127.625
"[6.0, 2018, 07]",6.0,2018,7.0,2018-07,107.3125
"[6.0, 2018, 08]",6.0,2018,8.0,2018-08,106.1875
"[6.0, 2018, 09]",6.0,2018,9.0,2018-09,116.0625
"[6.0, 2018, 10]",6.0,2018,10.0,2018-10,113.5
"[6.0, 2018, 11]",6.0,2018,11.0,2018-11,136.375
"[6.0, 2018, 12]",6.0,2018,12.0,2018-12,130.8125
"[7.0, 2018, 01]",7.0,2018,1.0,2018-01,78.00109569028488
"[7.0, 2018, 02]",7.0,2018,2.0,2018-02,76.21110299488677
"[7.0, 2018, 03]",7.0,2018,3.0,2018-03,72.04857560262967
"[7.0, 2018, 04]",7.0,2018,4.0,2018-04,63.46603360116873
"[7.0, 2018, 05]",7.0,2018,5.0,2018-05,56.89737034331628
"[7.0, 2018, 06]",7.0,2018,6.0,2018-06,51.28049671292914
"[7.0, 2018, 07]",7.0,2018,7.0,2018-07,42.87582176771366
"[7.0, 2018, 08]",7.0,2018,8.0,2018-08,51.75748721694667
"[7.0, 2018, 09]",7.0,2018,9.0,2018-09,58.44411979547114
"[7.0, 2018, 10]",7.0,2018,10.0,2018-10,62.3736303871439
"[7.0, 2018, 11]",7.0,2018,11.0,2018-11,89.07195032870706
"[7.0, 2018, 12]",7.0,2018,12.0,2018-12,95.58363769174579
"[8.0, 2018, 01]",8.0,2018,1.0,2018-01,132.07113019262016
"[8.0, 2018, 02]",8.0,2018,2.0,2018-02,105.46530517521468
"[8.0, 2018, 03]",8.0,2018,3.0,2018-03,99.39962868414952
"[8.0, 2018, 04]",8.0,2018,4.0,2018-04,108.87305639359482
"[8.0, 2018, 05]",8.0,2018,5.0,2018-05,91.6218380134602
"[8.0, 2018, 06]",8.0,2018,6.0,2018-06,87.46135994430263
"[8.0, 2018, 07]",8.0,2018,7.0,2018-07,75.51902993734048
"[8.0, 2018, 08]",8.0,2018,8.0,2018-08,74.66094221397078
"[8.0, 2018, 09]",8.0,2018,9.0,2018-09,87.056161522395
"[8.0, 2018, 10]",8.0,2018,10.0,2018-10,100.02958923184039
"[8.0, 2018, 11]",8.0,2018,11.0,2018-11,104.3926665119518
"[8.0, 2018, 12]",8.0,2018,12.0,2018-12,133.00545370155493
"[9.0, 2018, 01]",9.0,2018,1.0,2018-01,113.6036281605414
"[9.0, 2018, 02]",9.0,2018,2.0,2018-02,91.60588401165522
"[9.0, 2018, 03]",9.0,2018,3.0,2018-03,88.16777892659084
"[9.0, 2018, 04]",9.0,2018,4.0,2018-04,94.76247767647335
"[9.0, 2018, 05]",9.0,2018,5.0,2018-05,83.62205094463765
"[9.0, 2018, 06]",9.0,2018,6.0,2018-06,82.42363004041732
"[9.0, 2018, 07]",9.0,2018,7.0,2018-07,70.53679857129428
"[9.0, 2018, 08]",9.0,2018,8.0,2018-08,70.76031581915593
"[9.0, 2018, 09]",9.0,2018,9.0,2018-09,89.92367703731553
"[9.0, 2018, 10]",9.0,2018,10.0,2018-10,101.38518657768586
"[9.0, 2018, 11]",9.0,2018,11.0,2018-11,106.28545915969544
"[9.0, 2018, 12]",9.0,2018,12.0,2018-12,118.70401353510665
