uid,grid_id,year,month,date,ws_mps
"[1.0, 2007, 01]",1.0,2007,1.0,2007-01,375.31274433150895
"[1.0, 2007, 02]",1.0,2007,2.0,2007-02,300.24237685691946
"[1.0, 2007, 03]",1.0,2007,3.0,2007-03,268.9460516028147
"[1.0, 2007, 04]",1.0,2007,4.0,2007-04,260.8037529319781
"[1.0, 2007, 05]",1.0,2007,5.0,2007-05,267.6645817044566
"[1.0, 2007, 06]",1.0,2007,6.0,2007-06,231.42376856919466
"[1.0, 2007, 07]",1.0,2007,7.0,2007-07,270.6645817044566
"[1.0, 2007, 08]",1.0,2007,8.0,2007-08,321.721657544957
"[1.0, 2007, 09]",1.0,2007,9.0,2007-09,331.48162627052386
"[1.0, 2007, 10]",1.0,2007,10.0,2007-10,408.71853010164193
"[1.0, 2007, 11]",1.0,2007,11.0,2007-11,338.4652071931196
"[1.0, 2007, 12]",1.0,2007,12.0,2007-12,303.95856137607507
"[2.0, 2007, 01]",2.0,2007,1.0,2007-01,326.59878764917596
"[2.0, 2007, 02]",2.0,2007,2.0,2007-02,247.32335669634398
"[2.0, 2007, 03]",2.0,2007,3.0,2007-03,229.79825724569045
"[2.0, 2007, 04]",2.0,2007,4.0,2007-04,238.2119719643872
"[2.0, 2007, 05]",2.0,2007,5.0,2007-05,289.81094904337937
"[2.0, 2007, 06]",2.0,2007,6.0,2007-06,237.50937677590449
"[2.0, 2007, 07]",2.0,2007,7.0,2007-07,274.40064406137526
"[2.0, 2007, 08]",2.0,2007,8.0,2007-08,272.2953210835385
"[2.0, 2007, 09]",2.0,2007,9.0,2007-09,300.6988065921576
"[2.0, 2007, 10]",2.0,2007,10.0,2007-10,358.63667361242653
"[2.0, 2007, 11]",2.0,2007,11.0,2007-11,305.54631559007385
"[2.0, 2007, 12]",2.0,2007,12.0,2007-12,237.21083538548967
"[3.0, 2007, 01]",3.0,2007,1.0,2007-01,284.94733619105943
"[3.0, 2007, 02]",3.0,2007,2.0,2007-02,215.73851806491123
"[3.0, 2007, 03]",3.0,2007,3.0,2007-03,215.36129822412735
"[3.0, 2007, 04]",3.0,2007,4.0,2007-04,231.11451316595225
"[3.0, 2007, 05]",3.0,2007,5.0,2007-05,280.46417636252295
"[3.0, 2007, 06]",3.0,2007,6.0,2007-06,240.06368646662585
"[3.0, 2007, 07]",3.0,2007,7.0,2007-07,271.46785058175135
"[3.0, 2007, 08]",3.0,2007,8.0,2007-08,255.17085119412124
"[3.0, 2007, 09]",3.0,2007,9.0,2007-09,280.6056338028169
"[3.0, 2007, 10]",3.0,2007,10.0,2007-10,328.1751377832211
"[3.0, 2007, 11]",3.0,2007,11.0,2007-11,293.34905082669934
"[3.0, 2007, 12]",3.0,2007,12.0,2007-12,219.85180649112067
"[4.0, 2007, 01]",4.0,2007,1.0,2007-01,334.9099099099098
"[4.0, 2007, 02]",4.0,2007,2.0,2007-02,265.88426888426886
"[4.0, 2007, 03]",4.0,2007,3.0,2007-03,245.25340725340718
"[4.0, 2007, 04]",4.0,2007,4.0,2007-04,223.30884730884725
"[4.0, 2007, 05]",4.0,2007,5.0,2007-05,211.96950796950796
"[4.0, 2007, 06]",4.0,2007,6.0,2007-06,400.68121968121955
"[4.0, 2007, 07]",4.0,2007,7.0,2007-07,265.73180873180866
"[4.0, 2007, 08]",4.0,2007,8.0,2007-08,322.18664818664814
"[4.0, 2007, 09]",4.0,2007,9.0,2007-09,285.82559482559475
"[4.0, 2007, 10]",4.0,2007,10.0,2007-10,407.5768075768075
"[4.0, 2007, 11]",4.0,2007,11.0,2007-11,342.53106953106953
"[4.0, 2007, 12]",4.0,2007,12.0,2007-12,297.30538230538224
"[5.0, 2007, 01]",5.0,2007,1.0,2007-01,363.48060188542416
"[5.0, 2007, 02]",5.0,2007,2.0,2007-02,316.24981870920953
"[5.0, 2007, 03]",5.0,2007,3.0,2007-03,259.45050761421317
"[5.0, 2007, 04]",5.0,2007,4.0,2007-04,301.3346627991298
"[5.0, 2007, 05]",5.0,2007,5.0,2007-05,273.37237128353877
"[5.0, 2007, 06]",5.0,2007,6.0,2007-06,440.43437273386513
"[5.0, 2007, 07]",5.0,2007,7.0,2007-07,323.87617839013774
"[5.0, 2007, 08]",5.0,2007,8.0,2007-08,308.5592820884699
"[5.0, 2007, 09]",5.0,2007,9.0,2007-09,231.42893401015226
"[5.0, 2007, 10]",5.0,2007,10.0,2007-10,295.9862218999275
"[5.0, 2007, 11]",5.0,2007,11.0,2007-11,238.8718274111675
"[5.0, 2007, 12]",5.0,2007,12.0,2007-12,290.01214648295866
"[6.0, 2007, 01]",6.0,2007,1.0,2007-01,353.47058823529414
"[6.0, 2007, 02]",6.0,2007,2.0,2007-02,301.1764705882353
"[6.0, 2007, 03]",6.0,2007,3.0,2007-03,232.76470588235293
"[6.0, 2007, 04]",6.0,2007,4.0,2007-04,305.5882352941176
"[6.0, 2007, 05]",6.0,2007,5.0,2007-05,278.05882352941177
"[6.0, 2007, 06]",6.0,2007,6.0,2007-06,405.11764705882354
"[6.0, 2007, 07]",6.0,2007,7.0,2007-07,326.05882352941177
"[6.0, 2007, 08]",6.0,2007,8.0,2007-08,296.1764705882353
"[6.0, 2007, 09]",6.0,2007,9.0,2007-09,225.94117647058823
"[6.0, 2007, 10]",6.0,2007,10.0,2007-10,288.7647058823529
"[6.0, 2007, 11]",6.0,2007,11.0,2007-11,229.11764705882354
"[6.0, 2007, 12]",6.0,2007,12.0,2007-12,273.47058823529414
"[7.0, 2007, 01]",7.0,2007,1.0,2007-01,241.18005843681516
"[7.0, 2007, 02]",7.0,2007,2.0,2007-02,298.50730460189914
"[7.0, 2007, 03]",7.0,2007,3.0,2007-03,200.3444119795471
"[7.0, 2007, 04]",7.0,2007,4.0,2007-04,319.56939371804236
"[7.0, 2007, 05]",7.0,2007,5.0,2007-05,352.2731921110299
"[7.0, 2007, 06]",7.0,2007,6.0,2007-06,276.0010956902849
"[7.0, 2007, 07]",7.0,2007,7.0,2007-07,413.981373265157
"[7.0, 2007, 08]",7.0,2007,8.0,2007-08,432.34660336011683
"[7.0, 2007, 09]",7.0,2007,9.0,2007-09,368.599707815924
"[7.0, 2007, 10]",7.0,2007,10.0,2007-10,270.5387143900657
"[7.0, 2007, 11]",7.0,2007,11.0,2007-11,280.72425127830536
"[7.0, 2007, 12]",7.0,2007,12.0,2007-12,233.85500365230092
"[8.0, 2007, 01]",8.0,2007,1.0,2007-01,273.5061422292348
"[8.0, 2007, 02]",8.0,2007,2.0,2007-02,274.22551560915144
"[8.0, 2007, 03]",8.0,2007,3.0,2007-03,175.44314211653335
"[8.0, 2007, 04]",8.0,2007,4.0,2007-04,282.1562042150345
"[8.0, 2007, 05]",8.0,2007,5.0,2007-05,239.41395243998656
